service,request_id,level,event,status_code_log,duration_ms_log,generated_at,status_code_metric,duration_ms_metric,cpu_percent,memory_mb,db_query_time_ms
users-service,dba004ad-c8e9-4ca0-88fa-95651866b365,info,auth.login.success,,,1772080299914,200,472.0,0.26,102.0,91.0
users-service,dba004ad-c8e9-4ca0-88fa-95651866b365,info,request.completed.success,,422,1772080299914,200,472.0,0.26,102.0,91.0
users-service,bef788da-d825-40ae-be25-9e48e5b15574,info,request.incoming,,,1772080299914,200,939.0,6.81,70.0,252.0
users-service,bef788da-d825-40ae-be25-9e48e5b15574,info,auth.login.request,,,1772080299914,200,939.0,6.81,70.0,252.0
users-service,bef788da-d825-40ae-be25-9e48e5b15574,info,user.login.start,,,1772080299914,200,939.0,6.81,70.0,252.0
users-service,bef788da-d825-40ae-be25-9e48e5b15574,info,jwt.token.generate.start,,,1772080299914,200,939.0,6.81,70.0,252.0
users-service,bef788da-d825-40ae-be25-9e48e5b15574,info,jwt.token.generate.success,,,1772080299914,200,939.0,6.81,70.0,252.0
users-service,bef788da-d825-40ae-be25-9e48e5b15574,info,user.login.success,,,1772080299914,200,939.0,6.81,70.0,252.0
users-service,bef788da-d825-40ae-be25-9e48e5b15574,info,auth.login.success,,,1772080299914,200,939.0,6.81,70.0,252.0
users-service,bef788da-d825-40ae-be25-9e48e5b15574,info,request.completed.success,,890,1772080299914,200,939.0,6.81,70.0,252.0
