request_id,level,service,event,status_code,duration_ms
,info,users-service,unknown,,
665a157e-4c03-49a0-bce6-d0413d27143d,info,users-service,auth.login.request,,
,info,users-service,unknown,,
,info,users-service,unknown,,
665a157e-4c03-49a0-bce6-d0413d27143d,info,users-service,user.login.start,,
,info,users-service,unknown,,
,info,users-service,unknown,,
665a157e-4c03-49a0-bce6-d0413d27143d,info,users-service,jwt.token.generate.start,,
,info,users-service,unknown,,
,info,users-service,unknown,,
665a157e-4c03-49a0-bce6-d0413d27143d,info,users-service,jwt.token.generate.success,,
,info,users-service,unknown,,
,info,users-service,unknown,,
665a157e-4c03-49a0-bce6-d0413d27143d,info,users-service,user.login.success,,
,info,users-service,unknown,,
,info,users-service,unknown,,
665a157e-4c03-49a0-bce6-d0413d27143d,info,users-service,auth.login.success,,
,info,users-service,unknown,,
,info,users-service,unknown,,
665a157e-4c03-49a0-bce6-d0413d27143d,info,users-service,request.completed.success,,366
,info,users-service,unknown,,
,info,users-service,unknown,,
,error,users-service,unknown,,
,info,users-service,unknown,,
,info,users-service,unknown,,
,error,users-service,unknown,,
,info,users-service,unknown,,
,info,users-service,unknown,,
,error,users-service,unknown,,
,info,users-service,unknown,,
,info,users-service,unknown,,
,info,users-service,unknown,,
,info,users-service,unknown,,
,info,users-service,unknown,,
,info,users-service,unknown,,
,error,users-service,unknown,,
,info,users-service,unknown,,
,info,users-service,unknown,,
,error,users-service,unknown,,
,info,users-service,unknown,,
,info,users-service,unknown,,
,error,users-service,unknown,,
,info,users-service,unknown,,
,info,users-service,unknown,,
,info,users-service,unknown,,
,info,users-service,unknown,,
,info,users-service,unknown,,
,info,users-service,unknown,,
,error,users-service,unknown,,
,error,users-service,unknown,,
,info,users-service,unknown,,
,error,users-service,unknown,,
,info,users-service,unknown,,
,info,users-service,unknown,,
,error,users-service,unknown,,
,info,users-service,unknown,,
,info,users-service,unknown,,
,info,users-service,unknown,,
,info,users-service,unknown,,
,info,users-service,unknown,,
,info,users-service,unknown,,
,info,users-service,unknown,,
,error,users-service,unknown,,
,info,users-service,unknown,,
,info,users-service,unknown,,
,info,users-service,unknown,,
,info,users-service,unknown,,
,info,users-service,unknown,,
,info,users-service,unknown,,
,info,users-service,unknown,,
,info,users-service,unknown,,
,info,users-service,unknown,,
,info,users-service,unknown,,
,info,users-service,unknown,,
,info,users-service,unknown,,
,error,users-service,unknown,,
,info,users-service,unknown,,
,info,users-service,unknown,,
,info,users-service,unknown,,
,info,users-service,unknown,,
,info,users-service,unknown,,
,info,users-service,unknown,,
,info,users-service,unknown,,
,info,users-service,unknown,,
,info,users-service,unknown,,
,info,users-service,unknown,,
,info,users-service,unknown,,
,info,users-service,unknown,,
,info,users-service,unknown,,
,info,users-service,unknown,,
,info,users-service,unknown,,
,info,users-service,unknown,,
,info,users-service,unknown,,
,info,users-service,unknown,,
,info,users-service,unknown,,
,info,users-service,unknown,,
,info,users-service,unknown,,
,error,users-service,unknown,,
,info,users-service,unknown,,
,info,users-service,unknown,,
,error,users-service,unknown,,
,info,users-service,unknown,,
,info,users-service,unknown,,
,info,users-service,unknown,,
,info,users-service,unknown,,
,info,users-service,unknown,,
,info,users-service,unknown,,
,info,users-service,unknown,,
,info,users-service,unknown,,
,info,users-service,unknown,,
,info,users-service,unknown,,
,info,users-service,unknown,,
,info,users-service,unknown,,
,info,users-service,unknown,,
,info,users-service,unknown,,
,info,users-service,unknown,,
,info,users-service,unknown,,
,info,users-service,unknown,,
,info,users-service,unknown,,
,info,users-service,unknown,,
,info,users-service,unknown,,
,info,users-service,unknown,,
,error,users-service,unknown,,
,info,users-service,unknown,,
,info,users-service,unknown,,
,error,users-service,unknown,,
,info,users-service,unknown,,
,error,users-service,unknown,,
,error,users-service,unknown,,
,error,users-service,unknown,,
,info,users-service,unknown,,
,info,users-service,unknown,,
,error,users-service,unknown,,
,info,users-service,unknown,,
,info,users-service,unknown,,
,error,users-service,unknown,,
,info,users-service,unknown,,
,info,users-service,unknown,,
,info,users-service,unknown,,
,info,users-service,unknown,,
,info,users-service,unknown,,
,info,users-service,unknown,,
,info,users-service,unknown,,
,info,users-service,unknown,,
,info,users-service,unknown,,
,info,users-service,unknown,,
,info,users-service,unknown,,
,info,users-service,unknown,,
,info,users-service,unknown,,
,error,users-service,unknown,,
,info,users-service,unknown,,
,info,users-service,unknown,,
,info,users-service,unknown,,
,info,users-service,unknown,,
,info,users-service,unknown,,
,info,users-service,unknown,,
,error,users-service,unknown,,
,error,users-service,unknown,,
,info,users-service,unknown,,
,info,users-service,unknown,,
,error,users-service,unknown,,
,info,users-service,unknown,,
,info,users-service,unknown,,
,error,users-service,unknown,,
,info,users-service,unknown,,
,info,users-service,unknown,,
,info,users-service,unknown,,
,info,users-service,unknown,,
,info,users-service,unknown,,
,info,users-service,unknown,,
,info,users-service,unknown,,
,info,users-service,unknown,,
,info,users-service,unknown,,
,info,users-service,unknown,,
,info,users-service,unknown,,
