duration_ms,error_message,error_type,event,level,method,path,request_id,service,session_id,stacktrace_hash,status_code,timestamp
,,,http.request.received,INFO,,,,restaurants-service,,,,2025-12-29T17:02:09.632
,,,upload.destination,INFO,,,,restaurants-service,,,,2025-12-29T17:02:09.645
,,,upload.filename.generated,INFO,,,,restaurants-service,,,,2025-12-29T17:02:09.646
,,,menuItem.add.start,INFO,,,,restaurants-service,,,,2025-12-29T17:02:09.655
,,,menuItem.add.success,INFO,,,,restaurants-service,,,,2025-12-29T17:02:09.809
,,,http.request.completed,INFO,,,,restaurants-service,,,,2025-12-29T17:02:09.810
,,,http.request.received,INFO,,,,restaurants-service,,,,2025-12-29T17:02:10.879
,,,[getByUser],INFO,,,,restaurants-service,,,,2025-12-29T17:02:10.881
,,,http.request.received,INFO,,,,restaurants-service,,,,2025-12-29T17:02:10.883
,,,menuItem.byUser.start,INFO,,,,restaurants-service,,,,2025-12-29T17:02:10.885
,,,menuItem.byUser.success,INFO,,,,restaurants-service,,,,2025-12-29T17:02:10.985
,,,http.request.completed,INFO,,,,restaurants-service,,,,2025-12-29T17:02:10.986
,,,restaurants.byUser.success,INFO,,,,restaurants-service,,,,2025-12-29T17:02:10.988
,,,http.request.completed,INFO,,,,restaurants-service,,,,2025-12-29T17:02:10.989
,,,http.request.received,INFO,,,,restaurants-service,,,,2025-12-29T17:02:10.991
,,,menuItem.byUser.start,INFO,,,,restaurants-service,,,,2025-12-29T17:02:10.993
,,,http.request.received,INFO,,,,restaurants-service,,,,2025-12-29T17:02:10.996
,,,[getByUser],INFO,,,,restaurants-service,,,,2025-12-29T17:02:10.998
,,,http.request.received,INFO,,,,restaurants-service,,,,2025-12-29T17:02:11.020
,,,http.request.completed,INFO,,,,restaurants-service,,,,2025-12-29T17:02:11.028
,,,restaurants.byUser.success,INFO,,,,restaurants-service,,,,2025-12-29T17:02:11.098
,,,http.request.completed,INFO,,,,restaurants-service,,,,2025-12-29T17:02:11.099
,,,menuItem.byUser.success,INFO,,,,restaurants-service,,,,2025-12-29T17:02:11.101
,,,http.request.completed,INFO,,,,restaurants-service,,,,2025-12-29T17:02:11.103
,,,http.request.received,INFO,,,,restaurants-service,,,,2025-12-29T17:02:36.978
,,,[getByUser],INFO,,,,restaurants-service,,,,2025-12-29T17:02:36.981
,,,restaurants.byUser.success,INFO,,,,restaurants-service,,,,2025-12-29T17:02:37.092
,,,http.request.completed,INFO,,,,restaurants-service,,,,2025-12-29T17:02:37.094
,,,http.request.received,INFO,,,,restaurants-service,,,,2025-12-29T17:02:37.096
,,,[getByUser],INFO,,,,restaurants-service,,,,2025-12-29T17:02:37.099
,,,http.request.received,INFO,,,,restaurants-service,,,,2025-12-29T17:02:37.108
,,,menuItem.byUser.start,INFO,,,,restaurants-service,,,,2025-12-29T17:02:37.110
,,,restaurants.byUser.success,INFO,,,,restaurants-service,,,,2025-12-29T17:02:37.207
,,,http.request.completed,INFO,,,,restaurants-service,,,,2025-12-29T17:02:37.209
,,,menuItem.byUser.success,INFO,,,,restaurants-service,,,,2025-12-29T17:02:37.213
,,,http.request.completed,INFO,,,,restaurants-service,,,,2025-12-29T17:02:37.216
,,,http.request.received,INFO,,,,restaurants-service,,,,2025-12-29T17:02:37.232
,,,menuItem.byUser.start,INFO,,,,restaurants-service,,,,2025-12-29T17:02:37.235
,,,menuItem.byUser.success,INFO,,,,restaurants-service,,,,2025-12-29T17:02:37.339
,,,http.request.completed,INFO,,,,restaurants-service,,,,2025-12-29T17:02:37.341
,,,http.request.received,INFO,,,,restaurants-service,,,,2025-12-29T17:03:02.509
,,,restaurant.list.start,INFO,,,,restaurants-service,,,,2025-12-29T17:03:02.510
,,,restaurant.list.success,INFO,,,,restaurants-service,,,,2025-12-29T17:03:02.613
,,,http.request.completed,INFO,,,,restaurants-service,,,,2025-12-29T17:03:02.614
,,,http.request.received,INFO,,,,restaurants-service,,,,2025-12-29T17:03:02.615
,,,restaurant.list.start,INFO,,,,restaurants-service,,,,2025-12-29T17:03:02.616
,,,restaurant.list.success,INFO,,,,restaurants-service,,,,2025-12-29T17:03:02.717
,,,http.request.completed,INFO,,,,restaurants-service,,,,2025-12-29T17:03:02.719
,,,http.request.received,INFO,,,,restaurants-service,,,,2025-12-29T17:03:17.037
,,,restaurant.list.start,INFO,,,,restaurants-service,,,,2025-12-29T17:03:17.038
,,,restaurant.list.success,INFO,,,,restaurants-service,,,,2025-12-29T17:03:17.138
,,,http.request.completed,INFO,,,,restaurants-service,,,,2025-12-29T17:03:17.139
,,,http.request.received,INFO,,,,restaurants-service,,,,2025-12-29T17:03:17.140
,,,restaurant.list.start,INFO,,,,restaurants-service,,,,2025-12-29T17:03:17.141
,,,http.request.received,INFO,,,,restaurants-service,,,,2025-12-29T17:03:17.182
,,,http.request.completed,INFO,,,,restaurants-service,,,,2025-12-29T17:03:17.185
,,,restaurant.list.success,INFO,,,,restaurants-service,,,,2025-12-29T17:03:17.242
,,,http.request.completed,INFO,,,,restaurants-service,,,,2025-12-29T17:03:17.244
,,,http.request.received,INFO,,,,restaurants-service,,,,2025-12-29T17:03:19.636
,,,restaurant.list.start,INFO,,,,restaurants-service,,,,2025-12-29T17:03:19.638
,,,restaurant.list.success,INFO,,,,restaurants-service,,,,2025-12-29T17:03:19.739
,,,http.request.completed,INFO,,,,restaurants-service,,,,2025-12-29T17:03:19.741
,,,http.request.received,INFO,,,,restaurants-service,,,,2025-12-29T17:03:19.742
,,,restaurant.list.start,INFO,,,,restaurants-service,,,,2025-12-29T17:03:19.743
,,,http.request.received,INFO,,,,restaurants-service,,,,2025-12-29T17:03:19.783
,,,http.request.completed,INFO,,,,restaurants-service,,,,2025-12-29T17:03:19.785
